"unknown-#thmcsm","0","0","0","0","0","0","0","0","0","",""
"#ShakenBabyFacts","0","0","0","0","0","0","0","0","0","",""
"#SystemicSclerosis","19","0.7368","2.0526","0.6316","1.4211","0.0000","0.0000","1.0000","3.4737","0.0000","0.1579"
"#CowdensSyndrome","8","1.0000","2.2500","0.2500","0.6250","0.0000","0.0000","1.0000","2.8750","0.0000","0.0000"
"#antiNMDAr","14","0.9286","5.4286","0.1429","0.1429","0.0000","0.0000","1.0000","5.5714","0.0000","0.2143"
"#Congestionnasal","0","0","0","0","0","0","0","0","0","",""
"#ESUS","26","0.9231","1.5769","0.2692","0.5000","0.0000","0.0000","1.0000","2.0769","0.0000","0.0385"
"#AnosmiaHope","0","0","0","0","0","0","0","0","0","",""
"#takotsubo","15","0.9333","3.2667","0.1333","0.3333","0.0000","0.0000","1.0000","3.6000","0.0000","0.2000"
"#pleuralEffusion","3","1.0000","4.0000","0.0000","0.0000","0.0000","0.0000","1.0000","4.0000","0.0000","0.0000"
"unknown-#hpbcsm","16","0.8125","3.3125","0.2500","0.2500","0.0000","0.0000","1.0000","3.5625","0.0000","0.0000"
"#XMRV","1","1.0000","3.0000","0.0000","0.0000","0.0000","0.0000","1.0000","3.0000","0.0000","0.0000"
"#giardia","14","0.7143","1.7857","0.4286","1.8571","0.0000","0.0000","1.0000","3.6429","0.0000","0.2143"
"#eosinophilicesophagitis","16","0.6875","7.1875","0.3750","1.5000","0.0000","0.0000","1.0000","8.6875","0.0625","0.4375"
"#Enterovirus68","0","0","0","0","0","0","0","0","0","",""
"#Polymyalgia","6","0.3333","0.6667","0.6667","0.6667","0.0000","0.0000","1.0000","1.3333","0.1667","0.0000"
"#RiftValleyFever","16","0.8750","4.8750","0.5000","0.7500","0.0000","0.0000","1.0000","5.6250","0.0000","0.0625"
"#Paget","10","0.8000","1.5000","0.6000","1.9000","0.0000","0.0000","1.0000","3.4000","0.1000","0.3000"
"#GaucherDisease","4","1.0000","1.5000","0.5000","1.5000","0.0000","0.0000","1.0000","3.0000","0.0000","0.0000"
"unknown-#euromelanoma17","0","0","0","0","0","0","0","0","0","",""
"#StevensJohnsonSyndrome","5","0.8000","1.0000","0.4000","0.4000","0.0000","0.0000","1.0000","1.4000","0.0000","0.0000"
"#trastornobipolar","0","0","0","0","0","0","0","0","0","",""
"#AcuteCoronarySyndrome","19","1.0000","5.5789","0.2105","1.9474","0.0000","0.0000","1.0000","7.5263","0.0000","0.1579"
"#Restenosis","0","0","0","0","0","0","0","0","0","",""
"unknown-#esocsm","25","0.9200","3.9200","0.2000","0.8800","0.0000","0.0000","1.0000","4.8000","0.0000","0.1600"
"#Cholesteatoma","12","0.6667","0.6667","0.6667","1.6667","0.0000","0.0000","1.0000","2.3333","0.0000","0.0833"
"#Resfriado","1","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000","1.0000","1.0000","1.0000","0.0000"
"#merkelcellcarcinoma","13","0.9231","3.9231","0.3846","2.0000","0.0000","0.0000","1.0000","5.9231","0.0000","0.0000"
"#brucellosis","14","0.9286","2.2143","0.4286","1.2857","0.0000","0.0000","1.0000","3.5000","0.0000","0.2143"
"#BMFSM","5","1.0000","3.4000","0.4000","1.6000","0.0000","0.0000","1.0000","5.0000","0.0000","0.0000"
"#osteonecrosis","23","0.9565","21.7391","0.1304","2.3913","0.0000","0.0000","1.0000","24.1304","0.0000","0.0000"
"#Eclampsia","4","0.5000","1.0000","0.7500","2.7500","0.0000","0.0000","1.0000","3.7500","0.0000","0.0000"
"#TSComplex","0","0","0","0","0","0","0","0","0","",""
"#PlantarFascitis","4","0.7500","0.7500","0.2500","0.2500","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000"
"#hypophosphatasia","12","0.9167","1.7500","0.3333","3.0000","0.0000","0.0000","1.0000","4.7500","0.0000","0.3333"
"#Pompe","14","0.9286","2.3571","0.3571","1.1429","0.0000","0.0000","1.0000","3.5000","0.0714","0.2143"
"#Pemphigus","7","0.8571","2.2857","0.4286","1.1429","0.0000","0.0000","1.0000","3.4286","0.0000","0.1429"
"#FacialDisfigurement","14","0.5714","1.9286","0.5714","3.0714","0.0000","0.0000","1.0000","5.0000","0.0000","0.1429"
"#MRKH","16","0.7500","2.2500","0.5000","1.2500","0.0000","0.0000","1.0000","3.5000","0.0000","0.0625"
"#MoebiusSyndrome","12","0.9167","7.0000","0.2500","5.0833","0.0000","0.0000","1.0000","12.0833","0.0000","0.0000"
"#StiffPersonSyndrome","2","1.0000","3.5000","0.0000","0.0000","0.0000","0.0000","1.0000","3.5000","0.0000","0.5000"
"#deseosxpsoriasis","0","0","0","0","0","0","0","0","0","",""
"#CyclicVomitingSyndrome","5","1.0000","1.2000","0.2000","0.6000","0.0000","0.0000","1.0000","1.8000","0.0000","0.0000"
"#NeuroendocrineTumors","26","0.9615","6.8462","0.2308","1.1923","0.0000","0.0000","1.0000","8.0385","0.0000","0.0769"
"#Hypochondria","15","0.4667","0.6667","0.6667","1.8000","0.0000","0.0000","1.0000","2.4667","0.0667","0.2000"
"#dupuytrens","6","1.0000","5.6667","0.0000","0.0000","0.0000","0.0000","1.0000","5.6667","0.0000","0.0000"
"unknown-#CryoGroup","3","1.0000","4.0000","0.3333","1.6667","0.0000","0.0000","1.0000","5.6667","0.0000","0.0000"
"#HCCD","1","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000"
"unknown-#GPFAD2013","0","0","0","0","0","0","0","0","0","",""
"#Mastocytosis","18","0.7222","2.6667","0.4444","1.6111","0.0000","0.0000","1.0000","4.2778","0.0556","0.0000"
"#HemiplegicMigraine","27","0.8148","2.8889","0.4815","1.4815","0.0000","0.0000","1.0000","4.3704","0.0370","0.1481"
"#EmanuelSyndrome","0","0","0","0","0","0","0","0","0","",""
"#pseudobulbar","0","0","0","0","0","0","0","0","0","",""
"#MultipleEndocrineNeoplasia","0","0","0","0","0","0","0","0","0","",""
"#hypertrophiccardiomyopathy","19","0.8947","1.7368","0.3684","1.3158","0.0000","0.0000","1.0000","3.0526","0.0000","0.3158"
"#hypospadias","17","0.8235","2.5882","0.2353","0.9412","0.0000","0.0000","1.0000","3.5294","0.0000","0.1176"
"#DeviatedSeptum","6","0.3333","2.0000","0.6667","1.5000","0.0000","0.0000","1.0000","3.5000","0.1667","0.0000"
"#ARDS45","0","0","0","0","0","0","0","0","0","",""
"#HendraVirus","0","0","0","0","0","0","0","0","0","",""
