"unknown-#thmcsm","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ShakenBabyFacts","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#SystemicSclerosis","23","0.6522","0.7826","13.4000","18.5542","0.0000","0.0667","17.7222","12.4186","0.0000","0.2222","1142.2000","2023.9560","0.0000","0.1333","878.9444","1780.7429","0.0000","0.1111"
"#CowdensSyndrome","6","0.8333","1.0000","39.8000","44.4713","-1.0000","-1.0000","33.8333","42.9670","-1.0000","-1.0000","950.2000","946.2577","-1.0000","-1.0000","802.6667","920.2823","-1.0000","-1.0000"
"#antiNMDAr","21","0.6190","1.0000","7.6154","10.1369","0.0000","0.2308","46.9048","8.7186","0.0000","0.1429","995.8462","1181.5036","0.0000","0.0000","1751.9524","3436.9166","0.0000","0.0476"
"#Congestionnasal","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ESUS","16","0.5625","0.8125","113.8889","299.3582","-1.0000","-1.0000","137.6923","250.5512","0.0000","0.1538","6958.3333","17962.9981","-1.0000","-1.0000","5702.5385","14816.4720","0.0000","0.0769"
"#AnosmiaHope","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#takotsubo","32","0.6875","0.8750","8.5000","12.2930","0.0000","0.1364","25.7143","11.4501","0.0000","0.1429","2185.9545","4069.4082","0.0000","0.1364","10832.4286","44566.1706","0.0000","0.1071"
"#pleuralEffusion","11","0.3636","0.7273","2.7500","1.7078","-1.0000","-1.0000","306.3750","1.7678","-1.0000","-1.0000","460.2500","568.8130","-1.0000","-1.0000","19564.3750","49286.0090","-1.0000","-1.0000"
"unknown-#hpbcsm","19","0.5789","0.9474","177.4545","340.0319","0.0000","0.0909","317.3889","275.7863","0.0000","0.2222","4039.6364","9986.2194","0.0000","0.0909","2618.2778","7880.6998","0.0000","0.1667"
"#XMRV","3","1.0000","1.0000","232.6667","178.1582","-1.0000","-1.0000","397.3333","178.1582","-1.0000","-1.0000","1962.3333","846.7357","-1.0000","-1.0000","1962.3333","846.7357","-1.0000","-1.0000"
