ngram_from_profilesN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.51,0.43,0.46,892
HPI,0.4,0.41,0.41,365
HPO,0.31,0.37,0.34,273
Other,0.6,0.63,0.61,963
Patient,0.27,0.32,0.3,274
Research,0.47,0.45,0.46,333
avg,0.43,0.43,0.43,3100
,,,,
basicN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.38,0.49,0.43,892
HPI,0.25,0.11,0.15,365
HPO,0.2,0.41,0.26,273
Other,0.61,0.6,0.61,963
Patient,0.24,0.08,0.12,274
Research,0.21,0.11,0.14,333
avg,0.31,0.3,0.29,3100
,,,,
basic - englishN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.38,0.49,0.43,892
HPI,0.25,0.11,0.15,365
HPO,0.2,0.41,0.26,273
Other,0.61,0.6,0.61,963
Patient,0.24,0.08,0.12,274
Research,0.21,0.11,0.14,333
avg,0.31,0.3,0.29,3100
,,,,
basic+diseases_in_tweetsN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.4,0.5,0.44,892
HPI,0.27,0.12,0.16,365
HPO,0.21,0.36,0.26,273
Other,0.62,0.6,0.61,963
Patient,0.18,0.1,0.13,274
Research,0.24,0.21,0.22,333
avg,0.32,0.31,0.31,3100
,,,,
basic+topical_tweetsN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.42,0.48,0.45,892
HPI,0.23,0.2,0.21,365
HPO,0.19,0.21,0.2,273
Other,0.55,0.7,0.61,963
Patient,0.2,0.06,0.09,274
Research,0.22,0.11,0.14,333
avg,0.3,0.29,0.29,3100
,,,,
basic+manual_dictionaryN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.54,0.42,0.47,892
HPI,0.23,0.1,0.14,365
HPO,0.41,0.31,0.35,273
Other,0.52,0.76,0.62,963
Patient,0.35,0.24,0.28,274
Research,0.55,0.74,0.63,333
avg,0.43,0.43,0.42,3100
,,,,
basic+manual_dictionary_gN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.54,0.4,0.46,892
HPI,0.72,0.32,0.45,365
HPO,0.43,0.24,0.31,273
Other,0.55,0.77,0.64,963
Patient,0.29,0.43,0.35,274
Research,0.57,0.62,0.59,333
avg,0.52,0.46,0.47,3100
,,,,
basic+autocreated_dictN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.67,0.51,0.58,892
HPI,0.52,0.56,0.54,365
HPO,0.52,0.58,0.55,273
Other,0.68,0.77,0.72,963
Patient,0.48,0.53,0.5,274
Research,0.66,0.65,0.66,333
avg,0.59,0.6,0.59,3100
,,,,
basic+hashtag_match_profileN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.4,0.36,0.37,892
HPI,0.24,0.15,0.18,365
HPO,0.18,0.49,0.27,273
Other,0.6,0.64,0.62,963
Patient,0.23,0.14,0.17,274
Research,0.19,0.09,0.12,333
avg,0.31,0.31,0.29,3100
,,,,
basic+word_match_profileN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.39,0.29,0.33,892
HPI,0.24,0.12,0.16,365
HPO,0.2,0.48,0.28,273
Other,0.57,0.68,0.62,963
Patient,0.22,0.23,0.23,274
Research,0.18,0.09,0.12,333
avg,0.3,0.31,0.29,3100
,,,,
basic+generic_dict_match_nameN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.38,0.58,0.46,892
HPI,0.5,0.19,0.28,365
HPO,0.21,0.37,0.27,273
Other,0.62,0.6,0.61,963
Patient,0.18,0.07,0.1,274
Research,0.21,0.04,0.06,333
avg,0.35,0.31,0.3,3100
,,,,
basic+generic_dict_match_profileN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.4,0.66,0.5,892
HPI,0.41,0.44,0.43,365
HPO,0.22,0.26,0.24,273
Other,0.65,0.54,0.59,963
Patient,0.24,0.04,0.06,274
Research,0.45,0.12,0.19,333
avg,0.4,0.34,0.33,3100
,,,,
manual_dict_onlyN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.52,0.38,0.44,892
HPI,0,0,0,365
HPO,0.41,0.28,0.33,273
Other,0.45,0.76,0.57,963
Patient,0.34,0.22,0.27,274
Research,0.55,0.74,0.63,333
avg,0.38,0.4,0.37,3100
,,,,
autocreated_dict_onlyN-fold results:,,,,
