ngram_from_profilesN-fold results:
,precision, recall, f1, support
Advocates,0.52,0.45,0.48,892
HPI,0.41,0.42,0.42,365
HPO,0.35,0.39,0.37,273
Other,0.61,0.62,0.62,963
Patient,0.31,0.37,0.34,274
Research,0.47,0.48,0.48,333
avg,0.45,0.46,0.45,3100

basicN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.77,0.49,892
HPI,0.15,0.01,0.01,365
HPO,0.00,0.00,0.00,273
Other,0.57,0.66,0.61,963
Patient,0.00,0.00,0.00,274
Research,0.29,0.01,0.01,333
avg,0.23,0.24,0.19,3100

basic - englishN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.77,0.49,892
HPI,0.15,0.01,0.01,365
HPO,0.00,0.00,0.00,273
Other,0.57,0.66,0.61,963
Patient,0.00,0.00,0.00,274
Research,0.29,0.01,0.01,333
avg,0.23,0.24,0.19,3100

basic+diseases_in_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.75,0.48,892
HPI,0.33,0.02,0.04,365
HPO,0.10,0.01,0.01,273
Other,0.57,0.66,0.61,963
Patient,0.00,0.00,0.00,274
Research,0.15,0.01,0.02,333
avg,0.25,0.24,0.19,3100

basic+topical_tweetsN-fold results:
,precision, recall, f1, support
Advocates,0.38,0.68,0.49,892
HPI,0.15,0.01,0.01,365
HPO,0.00,0.00,0.00,273
Other,0.50,0.76,0.60,963
Patient,0.12,0.00,0.01,274
Research,0.33,0.01,0.02,333
avg,0.25,0.24,0.19,3100

basic+manual_dictionaryN-fold results:
,precision, recall, f1, support
Advocates,0.51,0.54,0.52,892
HPI,0.30,0.02,0.04,365
HPO,0.46,0.21,0.29,273
Other,0.50,0.78,0.61,963
Patient,0.36,0.11,0.17,274
Research,0.56,0.70,0.62,333
avg,0.45,0.39,0.38,3100

basic+manual_dictionary_gN-fold results:
,precision, recall, f1, support
Advocates,0.50,0.59,0.54,892
HPI,0.72,0.32,0.45,365
HPO,0.46,0.19,0.26,273
Other,0.54,0.77,0.64,963
Patient,0.45,0.11,0.17,274
Research,0.58,0.60,0.59,333
avg,0.54,0.43,0.44,3100

basic+autocreated_dictN-fold results:
,precision, recall, f1, support
Advocates,0.60,0.61,0.60,892
HPI,0.57,0.48,0.52,365
HPO,0.65,0.47,0.54,273
Other,0.65,0.82,0.72,963
Patient,0.57,0.37,0.45,274
Research,0.70,0.59,0.64,333
avg,0.62,0.56,0.58,3100

basic+hashtag_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.36,0.73,0.48,892
HPI,0.09,0.00,0.01,365
HPO,0.00,0.00,0.00,273
Other,0.55,0.72,0.62,963
Patient,0.25,0.02,0.03,274
Research,0.22,0.01,0.01,333
avg,0.25,0.24,0.19,3100

basic+word_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.36,0.69,0.48,892
HPI,0.17,0.01,0.01,365
HPO,0.00,0.00,0.00,273
Other,0.54,0.75,0.63,963
Patient,0.29,0.01,0.03,274
Research,0.33,0.01,0.01,333
avg,0.28,0.25,0.19,3100

basic+generic_dict_match_nameN-fold results:
,precision, recall, f1, support
Advocates,0.37,0.77,0.50,892
HPI,0.57,0.17,0.27,365
HPO,0.00,0.00,0.00,273
Other,0.58,0.66,0.62,963
Patient,0.00,0.00,0.00,274
Research,0.17,0.00,0.01,333
avg,0.28,0.27,0.23,3100

basic+generic_dict_match_profileN-fold results:
,precision, recall, f1, support
Advocates,0.39,0.75,0.52,892
HPI,0.44,0.42,0.43,365
HPO,0.00,0.00,0.00,273
Other,0.61,0.61,0.61,963
Patient,0.00,0.00,0.00,274
Research,0.47,0.10,0.17,333
avg,0.32,0.31,0.29,3100

manual_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.52,0.47,0.49,892
HPI,0.00,0.00,0.00,365
HPO,0.46,0.23,0.30,273
Other,0.45,0.76,0.57,963
Patient,0.34,0.12,0.17,274
Research,0.55,0.72,0.62,333
avg,0.39,0.38,0.36,3100

autocreated_dict_onlyN-fold results:
,precision, recall, f1, support
Advocates,0.59,0.57,0.58,892
HPI,0.58,0.48,0.53,365
HPO,0.66,0.45,0.54,273
Other,0.61,0.82,0.70,963
Patient,0.54,0.34,0.42,274
Research,0.69,0.58,0.63,333
avg,0.61,0.54,0.57,3100

basic + user_urlN-fold results:
,precision, recall, f1, support
Advocates,0.35,0.70,0.47,892
HPI,0.09,0.00,0.01,365
HPO,0.07,0.00,0.01,273
Other,0.52,0.71,0.60,963
Patient,0.00,0.00,0.00,274
Research,0.29,0.01,0.01,333
avg,0.22,0.24,0.18,3100

basic + auto_dict+textN-fold results:
,precision, recall, f1, support
Advocates,0.54,0.48,0.51,892
HPI,0.45,0.48,0.47,365
HPO,0.38,0.42,0.40,273
Other,0.67,0.65,0.66,963
Patient,0.34,0.41,0.37,274
Research,0.53,0.54,0.54,333
avg,0.48,0.50,0.49,3100

PCA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,0.59,0.63,0.61,892
HPI,0.57,0.45,0.51,365
HPO,0.64,0.47,0.54,273
Other,0.65,0.81,0.72,963
Patient,0.59,0.32,0.42,274
Research,0.67,0.67,0.67,333
avg,0.62,0.56,0.58,3100

LDA from basic + autocreated_dict + manual_dictN-fold results:
,precision, recall, f1, support
Advocates,0.60,0.64,0.62,892
HPI,0.59,0.45,0.51,365
HPO,0.72,0.48,0.58,273
Other,0.64,0.81,0.72,963
Patient,0.60,0.34,0.43,274
Research,0.67,0.68,0.67,333
avg,0.64,0.56,0.59,3100

PCA allN-fold results:
,precision, recall, f1, support
Advocates,0.60,0.64,0.62,892
HPI,0.63,0.51,0.56,365
HPO,0.63,0.45,0.53,273
Other,0.66,0.82,0.73,963
Patient,0.59,0.36,0.45,274
Research,0.69,0.60,0.64,333
avg,0.63,0.57,0.59,3100

LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.63,0.66,0.64,892
HPI,0.70,0.54,0.61,365
HPO,0.70,0.49,0.58,273
Other,0.67,0.84,0.74,963
Patient,0.64,0.37,0.47,274
Research,0.71,0.65,0.68,333
avg,0.67,0.59,0.62,3100

PCA+LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.62,0.65,0.64,892
HPI,0.68,0.54,0.60,365
HPO,0.66,0.46,0.54,273
Other,0.66,0.83,0.74,963
Patient,0.65,0.38,0.48,274
Research,0.69,0.62,0.66,333
avg,0.66,0.58,0.61,3100

LDA text+numericN-fold results:
,precision, recall, f1, support
Advocates,0.95,0.93,0.94,892
HPI,0.90,0.90,0.90,365
HPO,0.97,0.98,0.98,273
Other,0.97,0.99,0.98,963
Patient,0.83,0.82,0.83,274
Research,0.90,0.89,0.90,333
avg,0.92,0.92,0.92,3100

LDA text+ all_numericN-fold results:
,precision, recall, f1, support
Advocates,0.96,0.92,0.94,892
HPI,0.90,0.90,0.90,365
HPO,0.97,0.98,0.98,273
Other,0.98,0.99,0.98,963
Patient,0.80,0.87,0.83,274
Research,0.90,0.89,0.90,333
avg,0.92,0.93,0.92,3100

