_text_only_N-fold results:
,precision, recall, f1, support
Advocates,0.50,0.43,0.46,892
HPI,0.40,0.38,0.39,365
HPO,0.33,0.37,0.35,273
Other,0.58,0.63,0.60,963
Patient,0.31,0.35,0.33,274
Research,0.50,0.48,0.49,333
avg,0.44,0.44,0.44,3100

_numeric_only_N-fold results:
,precision, recall, f1, support
Advocates,0.43,0.46,0.45,892
HPI,0.31,0.19,0.23,365
HPO,0.22,0.25,0.23,273
Other,0.55,0.69,0.61,963
Patient,0.21,0.14,0.17,274
Research,0.24,0.18,0.21,333
avg,0.33,0.32,0.32,3100

_autodictext_only_N-fold results:
,precision, recall, f1, support
Advocates,0.67,0.48,0.56,892
HPI,0.51,0.55,0.53,365
HPO,0.52,0.58,0.55,273
Other,0.63,0.76,0.69,963
Patient,0.49,0.53,0.51,274
Research,0.66,0.63,0.64,333
avg,0.58,0.59,0.58,3100

_text+numeric_N-fold results:
,precision, recall, f1, support
Advocates,0.50,0.45,0.48,892
HPI,0.40,0.38,0.39,365
HPO,0.34,0.38,0.36,273
Other,0.61,0.64,0.63,963
Patient,0.32,0.35,0.34,274
Research,0.49,0.48,0.49,333
avg,0.44,0.45,0.44,3100

_text+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.51,0.45,0.48,892
HPI,0.44,0.42,0.43,365
HPO,0.34,0.40,0.37,273
Other,0.60,0.62,0.61,963
Patient,0.33,0.38,0.35,274
Research,0.51,0.51,0.51,333
avg,0.45,0.46,0.46,3100

_text+numeric+autodictext_N-fold results:
,precision, recall, f1, support
Advocates,0.51,0.47,0.49,892
HPI,0.44,0.42,0.43,365
HPO,0.35,0.40,0.37,273
Other,0.64,0.65,0.65,963
Patient,0.35,0.40,0.38,274
Research,0.52,0.51,0.51,333
avg,0.47,0.48,0.47,3100

